"NAMA","KOMENTAR"
"ottawaputri","Lagi heboh pada takut naik pesawat, pilot nya lagi disumpahin istrinya"
"hyuniik__","Kok bisa sih gaada malu-malu nya sama laki orang 😏😏 bujang atau duda udh gaada tah sampai mau sama laki orang😕"
"nureya_oz","Ini bukannya bunda Khafii ya.? Aku suka ikutin keluarga ini di tiktok.."
"emilrachma_","Sakit banget baca chatnya😢"
"dewiietoz","Kenapa ya yang selingkuh itu kalo kirim pesan selalu alay-alay.. Ga bisa lebih elegan dikit gitu biar kita yg baca Ga geli-geli amat"
"yuyun0211","Mau naek pesawat jadi takut. Takut pilotnya di sumpahin sama istri sah nya😭😭😭"
"dwi_suci_rhamadhani","Pecat,biar jadi efek jera"
"reni_novella","  padahal tiktok anaknya lucu banget deh"
"abcdefghi.ntn","Emang kalo chat sama selingkuhan itu keliatan uwu yaa, sampe bingung nyari topik buat pasangan sendirii?"
"firmly_loudly","apa itu penyebabnya sering delay pesawatnya, ternyata supirnya lagi ngadem😮"
"pithaayu"," cakepan juga istri sahnya😅"
"anniecarnnie","Udah punya istri cantik pun masih selingkuh😂"
"itsme.rah5","Yang kuat ya ibook 😢"
"nopnop8280","Setuju sih dengan kata-kata  Aku Hancur Kita Rasain Bareng-bareng yah.. Laki dan perempuan yg gk tau diri Layak untuk mendapatkan bonus ( Hujatan & Malu sedunia ) 👍🏻"
"dewi_suhartini22","2023 di tutup dengan kondom yg hilang😂😂😂"
"marsyalover_makeup","sudah biasa 😂ga kaget ,,"
"abinya_haidar","Penutup 2023 .. ""NYARI KONDOM"""
"ryn_____","Tidak perlu menjudge pepatah bilang tidak ada asap jika tidak ada api. Kan kalian hanya tau asapnya, apinya darimana kan gatau 🔥"
"fitry_aprilia30","Dikasih berlian milih batu krikil😢 benar-benar dah laki"
"coco_nutooo","Malu gua Baca nya anjiiirr"
"wikasalim","MANUSIA GAK ADA BERSYUKURNYA !!!!!!!!!!!"
"rusdiansyahalam","pecat dong dua-duanya nya lembek amat @citilink"
"nais_septi","Suka berfikir apakah masih ada lelaki yang cukup dengan 1 wanita😢 yang susah dan tidak bekerja aja bisa selingkuh aplagi yang kerja dan banyak uang 😂 astaqfirallah semakin kesini semakin menjadi jadi laki-laki yang tidak cukup dengan 1 wanita 🙄"
"dian_dianaa","Kenapa sih kok musim orang selingkuh?? 🙄😳 kurang apa bininya sih?????"
"alfyalsyh9","Selingkuhanya downgrade banget mas 😂"
"rahmah.anisa.1426","Di akhiri dengan kehilangan kondom 😭🤣🤣"
"bibi.syalika","ibok jauh lebih cantik masya Allah, tapi yo laki nya kok kurang bersyukur"
"eciwnda_","Sedih bgt sumpah ketauan sampai full chat gini😢"
"trinurliansyah","Dari gojek, discord, nanti lama-lama ke Gmail & Yahoo jg nih, kan bsa chat.. 🗿"
"handayani.shalia","Ya Allah gimana yah perasaan bininya"
"naniyu1802","Silaturahmi ke maskapainya. Tinggalkan jejak sepatah dua patah kata"
"shxna035___","Cewek kalo ketauan selingkuh suami nutupin aibnya, cowok kalo ketauan selingkuh langsung di buka aibnya sampe ke akar"""
"icelmause5"," kalo ketemu mba rozi saya mau nanyain ah kondom yg hilang udh ketemu apa belom ? 😁😅😅😅"
"icelmause5","padahal muka selingkuhannya kek rozipopo 😂😂"
"reinee_uhe","Dia yang di selingkuhi kok aku yang degdegan ya baca chat nya... Ngeri mencekam.."
"putriitaaaaaaaa","Ngeri bgt laki jaman sekarang ya, mainan nya sukanya yg berumput-rumput ternyata😪"
"luckyana_faroh_rosya98","Dah dikasih istri cantik, sholehah malah milih spek Rozi 🥲🥲"
"nikenvena","Mundur mba, banyak laki-laki lain 😂"
"anggraeni_claa","Mas sopir sm mba pramugari nya kudu nonton film siksa neraka nih.. biar pada tobat😂😂"
"ifajriyenes13","Gw aja yg ganteng gak mau selingkuh.."
"burhan_4193","Katanya udah nikah siri tapi pake kondom aneh kan"
"sana.ratnasary","Kok bisa ya org yg udh punya pasangan pada selingkuh, gua di umur yg 27 ini hilal jodoh pun tak terlihat 😅"
"tiwiiterra","Laki2 yang baik sama anak istrinya di rumah,,,, belum tentu setia,,,,, lantas laki-laki seperti apa ya allah ya pantas untuk di percaya😢"
"julia_anteng_pangestu","Sungguh memalukan bahasanya😢 Ternyata orang yang sudah menikah, kalau selingkuh ngeri ya😢"
"rizkyrhmtllh","Betapa sakitnya hati seseorang jika melihat chat begini ;("
"ariprnm__","padahal setia sama satu orang itu seru -_-"
"putrimetiko","Lagi jamannya laki laki stresss"
"buiswantoo","Ketar ketir yang belom ketauan 😂 , yang ini sudah ke UP. Banyaaaak gw yakin deh ga ini doang"
"gemifebriansyah","Ko mirip sama postingan aku 😂"
"seblak_rujak_ceters","Laki2 selingkuh itu bukan nyari yang cantik tapi yang gratis"
"vela_rianavegard","Hahaha.. bener kak,, takutnya disumpahin out eh pas lagi bawa penumpang.. kan ngeri kalo berjamaah..🫢"
"haoiniaku16","Cantikan istri sah padahal😂😂"
"agustianyocha","Ko gua sampe mikir, Zina itu kan bikin apes yaa😢 Duh tiati loh lu bawa ratusan nyawa wee"
"hiinorma_","Nyesek bgt bacanya 😭 semangat ibok❤️"
"nhukeselvia","Ngeri ga sih. Naik pesawat tiba2 oleng gara2 pilotnya colay 🤧🤧"
"h_kania30","Sering ketemu, sering bersama, jauh dari keluarga maka terjadilah"
"achdasr","Semua kesalahan bisa dimaafkan kecuali Perselingkuhan! 🤯"
"halatiabaya","Pdhl cantikan istrinya🥹😩"
"bakoelnom","Emang boleh senafsu ituu😄naikin ke atas dikit dong🤣"
"musriy","Welcome to gelandangan... ngikutin nafsu setan doyan bener,."
"atikomala","Miris semua dijadikan konsumsi publik nyari ketenaran bukan begitu caranya"
"dewiyanti.25","@citilink didik lagi pegawainya untuk bisa fokus pada pekerjaan, bukan pada kond*m"
"jnrftrr","Ga semua pramugari tapi yg di pake sama pilot udh pasti pramugari😂"
"ayarohayati12","Definisi jd selingkuhan itu ga perlu cantik, perlunya gatel 😂"
"annur.luthfiyah","ya Allah aku masih kecil masuknya kesini, salah kamar aku.. Maaf ya gaes"
"caca_cahya27","Bener bener takut naik pesawat nii klo pas naik ndelalah si pilot model ginian,,, istri nya lagi di dzalim’i wassalam klo lagi di udara 🥹🥹"
"khaka_mheii","Laki² uda dpt istri sholehah cantik trus minta apa lg sihhhh ?"
"lailatulnuradinda23","keren buat istri sah nya"
"vhavharevha","Biar berdua di pecat, naik pesawat bahaya terus ada yg zina takutnya pesawat jatuh.. 🥹"
"erawatisuci","Gak pantes jd awak cabin pesawat ..yg seharusnya profesional & beradab"
"naniyusuf_official","Jijik amat . Ingat hukum tabur tuai mas mba"
"runtudeysi","Ngeriiiii baca chat nya😢 memposisikan istri nya pas baca sumpah neyes kali 😢 Coba deh jadi orang yang punya harga diri tinggi,,tanpa menyakiti hati Dan perasaan orang lain 😥  please tinggalkan sisi positive di dirimu tanpa harus menghancurkan  Rumah tangga orang lain Dan kebahagiaan orang lain 😥"
"rezaalvian75","Mau naik pesawat jadi takut. Takut pilotnya disumpah serapah selingkuhan atau yg diselingkuhi"
"pr45towo","Untuk meminimalisasi kemungkinan perselingkuhan di dunia penerbangan, baiknya semua pilot berjenis kelamin perempuan 😂"
"meii.cuiitt","Sudah banyak terjadi mau di mana pun bekerja. Kalo ada kesempatan selingkuh ya selingkuh 😂"
"nengranietha"," laki-laki mana yg ku harus percaya 😩"
"oiwramdhan","Heran sama cewek yang mau jadi selingkuhan, padahal dah tau itu laki orang, dah punya bini dan anak, apa dia berharap suatu saat si pilot akan jadi milik dia seutuhnya? Apa gak ada laki-laki lain yg single? Oh tau tau, laki-laki zaman sekarang pada suka nya sama lelaki lagi, makin dikit jumlah laki yang benar laki 🤔"
"shinta_melia","Gw pikir jadi pramugari harus cantik 😂"
"uncudaus","Dia rela memilih batu kali dari pada baru berlian"
"merina_a","Jadi takut naik pesawat Citilink pramugari n pilotnya udh disumpahin banyak netizen 🫣"
"nadya_adhe","Oh definisi nya apa ini. Baju yang dicita²kan anak kecil tapi moralnya sampah"
"liaa_iyaaa","Knp ya org yang udh pada dewasa gini model pacarannya kek bocah SD haha. Geli woy bacanya"
"mamaalzam99","Gak ada lagi ampun sudah"
"muhammad.aulia.abdillah","Ya Alloh Penerbangan Indonesia semakin baik"
"jp_why","Saya dari bali dan berakal sudah tau pramugari sering di selingluhi pilot. .."
"indrihaidantii","Sumpah parah banget si.. dua²nya ga ada akhlak"
"epichtyours","Manasih ini @citilink kok adem-adem aja ada skandal di crew nya, kalau gak ada tindakan bisa2 pada di boikot loh"
"murals_exposy","Aduh sayang ama pekerjaan nya pilot sama pramugari. 😂"
"e.pika29","Baru baca versi kondom ya allah manusia lagi pada kenapa si?!😢"
"azikun_kowalski","Astaghfirullah. Lindungi kami Ya Alloh."
"wow_riniholida92","Kalau ketemu pramugari nya... Jambak aja guys.."
"susi_ikalloh","Akhir tahun di akhiri dengan kondom hilang,,,"
"happysabian","Aatagfirullah ya Allah hindarkan kami dari godaan setan...pentingnya menundukkan pandangan...ketahuilah bahwa sekecil apapun perbuatan pastinya ada balasan..."
"geedewanti15","Citilink klo GK nindak yaaa netizen yang nindak  sanksi sosial perlu"
"diyahfizh_","Membuang berlian demi batu krikil😂🤣 ga ngerti lagi dah"
"elbee_77","Astagfirulah 3x sabar ya mbak istri, benar-benar aku doain semoga lekas sembuh segala lukanya, semoga diganti sama cowo yg jauh lebih ganteng, soleh, kaya, setia, berkualitas, gagah, bahagiain pahir batin. Aamiin YRA"
"lidya_dp_","Disini bisa jadi pemahaman.. Cantik aja juga ga cukup ya rupanya🥲. Padahal bininya jauh lebih cantik..  Baik laki-laki baik perempuan.. Soal selingkuh jaman sekarang memang mewabah... Bikin yg jomblo trauma🥲"
"vivy_olyvia","Tahun baru bukan ayam doang yang hilang ternyata komdom juga bisa ilang 😭"
"lilis_982"," kawal trs sampe keduanya dipecat 🔥"
"zahraloverz30","Lelaki mana yg harus kupercaya 😢"
"tokoparfum1","Resiko jadi istri pilot. Jangan kaget lah kalau cari yg bergengsi pasti banyak yg mau. 😂"
"fitrialfisyahriah","Pasti si mba Bella damayka lagi nangis di pojokan saking malu nya..."
"sh3_rin","Seketika aku takut menikah "
"indahsrirahayu06","😢padahal istrinya cantikk banget 😢dasar orang tidak bisa bersyukur😡"
"bunganujanah","Nyesek bacanya ,😢😢 sakit hati sebagai seorang istri dan ibu..."
"alaika_barbershop","Semoga bisa menjadi pelajaran"
"nisa_rayh","@citilink pegawai anda sungguh mereshkan"
"windiartiendang055"," Astaghfirulloh 😢 ingat anak pak PILOT,,atau sudah jadi penyakitkah ?"
"dianasefta1823","Pramugari rasa cewe open BO ,murahan banget kirim² foto begitu najis"
"bunga.ku99","Astaghfirallah makin takut aja menikah ya Allah 😰🫣"
"bi.nissa","Aku udah hancur , kita hancur bareng bareng ya 🌝"
"arinovendra94","Pilot sma pramugari lagi aja @citilink"
"maulana_siana","Semoga 2024 itu kondom dah ketemu ya"
"yopiye85","Dari dulu kali namanya satu kerjaan..cuman GK ke expose"
"sintannisa","Nauzubillahiminzalik. 😢 terkutuk bener dah lu berdua!"
"nanangwardoyo","Belum pada nonton siksa neraka ya gitu tuh kelakuan."
"balqies_baju_murah","Selamat karir anda hancur."
"a.mxxd_","SAKIT EMNG TU LAKI, DI KASIH ISTRI CANTIK SHOLEHAH MALAH MILIH CENGCORANG😢"
"debby_ch25","Selingkuh ampe 5x... dimaafin ngelunjak langsung sikat.. rungkat semua, keren mba @iranndha 👍"
"ms_balqis","Asli sumpah, saya tidak kenal mereka siapa 🙏"
"anggrianasita","Ngeri naik pesawat, takut pilotnya lagi diazab 😢"
"alifluthfi05","Sedap ah bentar lagi anak nya di bully 1 indonesia"
"dansus66","Apakabar ya orang tua nya si ani-ani itu. Apa ga langsung shock ya."
"senpapss","Enak ya jadi pilot, bisa nerbangin pesawat dan nerbangin burung ke sangkar-sangkar yang tak bertuan."
"dharma.min18","aku cuma kepo sama reaksi temen temen kerja mereka yg kenal tiap hari ketemu"
"riskyriskey","Ngeri skandal dosen mahasiswa mah ga ada kan yaa @hendysuryo 😂"
"haninaaa25","Udah paling bener punya bini cakep bening mandiri dari keluarga yg mapan juga ga ada minusnya ditambah udh bisa kasih anak yg ganteng lucu juga, eh malah lebih milih diservis samaa  selengkian yang downgrade😩🥲 saking downgradenya sampe lupa letaknya kondom ada dimana wkwkw manaan selengkiannya mirip soh rozi yaAllah astagfirullah, gaya dan full servisnya lebih mantep kali yee sampe bang elmer gabisa kehilangan dan love you so much sayangku🤮🤮🙏🏻🙃 wkwkwk"
"vinhhhhhtyyvj","Jika diberlakukan hukum rajam ...."
"adelinerininta","Jijik banget lu bedua pak pilot mba pramugari"
"firmanfras_","Penutup season 2023🔥"
"ritarto_widodo","Ketika cewe cowo sama aja 😂😂"
"alula.alisyah","berani selingkuh? nanggung amat masih pake kondom 😂"
"hizetta16","@zaphire.pelindo"
"lisaapanjii","Padahal LeBiH cantik bini sah nya.. "
"pujiastuti_rika","Jadi tambah overthiking sama suami karna ldr😢"
"anne_r.a","Lagi musim perselingkuhan"
"jemelsentosawijaya","dikasi spek bidadari malah milih spek mimiperi, laki ga tau diri😮‍💨"
"gitasuciwulandari_"," istri lu cantik tau!"
"pfajrinn","Aku jadi takut naik Citilink, takut"
"anggraputri977","Ya allah, sakit hati banget😢"
"rekomendasiviral","Pelajarannya gak usah punya suami lagi😂😂😂"
"selviana.lina","Malu bangett dong kan udah viral gini😂😂😂"
"trip_meongpus12","Itu pakai aplikasi apa ya kak? Kalau boleh tahu.. Koq kayak bukan WA ya.. Serius nanya"
"monalvionitalice","Ulat bulu bertemu sesama ulat bulu,,, GATAL, GATAL, GATAL 😌"
"abdilllahiqballsaputra","Padahal cantikan istrinya"
"putrieragiel19","Mungkin komodo nya lg sıkat Gigi di kamar mandi"
"apriliasari1985","YaAllah hancur bgt pasti hati istri baca chat itu.. 😢"
"desyfransisca_deska","Geli ya klo lihat pasangan selingkuh"
"nuno_1408","Hati"" ya buat yg selingkuh,apalagi orang yg di selingkuhin sakit hati,doa orang yg terdzalimi biasa nya di ijabah sama Tuhan..😊"
"sitimaryam050","Azab yang jelas menanti bagi para pelaku selingkuh dan zina adalah dibakar api neraka. Hal ini dijelaskan pada sebuah hadis yang menjelaskan tentang pembicaraan Nabi Muhammad SAW dengan malaikat Jibril. #kasianistrisahnya 😢"
"rini_munte","Tapi tetap aja walau di viralkan kalau udah tabiat juga nanti ngulang lagi, nunggu kena hajar sm Tuhan  baru sadar 🙄🙄"
"rikkigram","Ngeri ih naik @citilink takut diajak selingkuh juga 😢"
"esthaputri","Kemarin mama ebra, skrng bunda kavi 😢yang sabar ya kalian"
"evinur_22","Suami yg gak bisa bersyukur, hati-hati aja hidup lu gak bahagia dan bakal hancur 😤"
"indahnovianasari","Padahal cantikan istri sah. Si selingkuhan modal ngangkang doang😂"
"sjessica999","Ngeri ya Bun yang LaGi selingkuh 😂🤣"
"my.murni","malu bgt ih, bini tau suami selingkuh aja itu malu banget, ini se langit tau  ga bisa ber kata-kata"
"wijaykhanwiwit","😢😢😢Allah buka di hadapan istri, biar tau kalo suaminya suka celap celup"
"alfy6659","Sekarang kok orang selingkuh kaya GaK ada malu-malu nya ya malah kaya dipublik. Jauhkanlah dr hal-hal seperti itu."
"sherlinm_","Bella murahan njir"
"gifta_maheswari","Masih lanjutkah perselingkuhan mereka setelah rame begini?  Haha...napsu diturutin om..om...asik ya chattingan rahasia di belakang bini..pikir dosanya bang..."
"firmanressa","Tuhkan bukan pesawatnya aja yg terbang burungnya jg ikutan terbang kesana kemari"
"lia_mama_salsaasraaf","Fix suami nya pasti sengsara seumur hidup Karena udah selingkuh....di pecat dr pekerjaan...di black list namanya...semoga cepet bertobat suaminya"
"nlylulu","Abis ini dicerein istri tercinta deh👏"
"indrie_tyo","Sabar ya mba Ira, lepasin aja laki ga setia begitu, kamu layak bahagia ,dihargai dan dapat lelaki yang setia , bertanggungjawab dunia akhirat , semua doain yang terbaik buat kamu"
"irenezhapraw","Penutup akhir taun yaitu perselingkuhan"
"windarso","Lagi apa ya sekarang orang nya 😂"
"rickywahyudi79","Padahal istrinya cantik lo.Masa cari di bawa istri lu sih bro😂 maap ni bukan ngerendahin ya tapi emang selingkuhan nya ngerendahin diri sendiri sih😂"
"rana.dee","😂😂kl di qobul serem itu sumpahan istri nya pesawat nya langsung jatoh🤣🤣🤣"
"j_rosy08","Semoga Allah memberikan hidayahnya kepada ke dua orang itu Aamiin."
"vheby_barfisyah","Begitu lah laki-laki yg tidak tau menghargai istrinya😡"
"komallasari94","Gada urat malunya emang"
"ifa_cattaleya","Mantap, itulah kalau istri terlalu bahagia akhrnya suami ,bagi kebahgiaan juga untuk yg lain"
"rapatinov","Ini kok langsung dikasih contoh konkrit ya, padahal belum lama ini ada yg kasih saran terkait jangan ambil pekerjaan sebagai pramugari. Tolong jelaskan saya "
"pertiwi.niken","Gw yg takut naik pesawat malah tambah takut,takut pilotnya lagi disumpahin bini gegara selengki"
"ayunda.50","Chatnya tanpa sensor sedikitpun"
"sijutex152","Siapa sih mreka..kok aku ga tau..😢"
"williamardiyanto","jangan di bully anda-anda kalau pas jatuh cinta juga gitu"
"ettehmanda_"," gw jadi takut nikah takut di selingkuhin , 🙃"
"tjee___"," malu bgt sih klo jdi lakiknya"
"leon_cameleo14","Semua cowo itu pasti pernah selingkuh. Gk kaget setelah ngerasain deh 😂😂 satu org yg dapat dipercaya itu diri sendiri, pasangan cuma formalitas 🔥"
"hepy_caem","lucu lucu komenannya"
"lisnarahmadani88","Udah ga aneh pilot sama pramugari mah 😌"
"dirannnnnnnnnnn","Tinggal di tinggalin aja lah cowok kaya gtu"
"madagaskarjasmine","Orang-orang selingkuh itu chatnya lucu2 dan gemesin ya 😂"
"meita55","Udah ga kaget , kalo para pilot dan pramugari begitu, pramugara juga banyak,udah akhir zaman"
"kristina_sellena","Sungguh tidak tahu malu mbaknya...bisa-bisanya bilang sayangnya aku ke suami orang  😤😤"
"liamarlia5758","Ayo maskapai pramugari sama pilotnya yg ini segera dirumahkan, kondom mereka ilang loh mereka butuh waktu buat nyari soalnya nyelip ditas yg mana 😢"
"mellda_farida","Orang orang pd hebat ya bisa nemuin se real itu bukti selingkuh ya gimana si cara nya serius nanya"
"vava_dhiana","Ga nyangka banget terlihat kompak dan harmonis padahal ibok menutupi luka sejak lama 😢😢 semangat ibook buat kavi"
"sukamakanmcd_","Discord disalahgunakan 😂"
"iramyrna24","Bikin malu aja 😡😡"
"mpirofikoh","Suka mancing, gimana ga hilaf org di pancing terus"
"rizkimindani","Siap-siap di keluarin dari maskapai 😂"
"andamdewi07","Gak kebayang jadi istrinya,sakit banget hatinya..Astagfirullah😭"
"milimine.id","Padahal cantik istrinya 😢😢"
"lllleeeeaaaa_02","Makin kesini makin gak percaya sama laki"" 😔😔"
"meymanalu28","Bangsat emang laki-laki kek gitu, ga inget anak"
"foodandeating_withme","ngeri jd tkt naik pesawat"
"supreme2xy","Pilot pramugari itu dah wajar gausah pada kaget , gw kira manusia biasa"
"ar_ntaaa","sumpah chatnya jijik banget"
"adriandjbrady","semoga keduanya di PECAT SECARA TiDaK HORMAT. Amin"
"alifwahyudi19","Sesudah selingkuh di aplikasi gojek terbitlah discord"
"arnettayuniska","Jadi ngeri naik pesawat... Ngeri-ngeri pilot nya lagi di sumpah-sumpah in sm bini, pramugari di sumpah2in sm istri pilot😂"
"afriani_94","Baca chatnya geli sndri 😢"
"stephanie2gs","Cara chat ny mirip banget ya"
"tariniken","Bae bae jng naik citi lg Ntr pesawatnya miring Soalny pilot ny lg C*li😂"
"fany_cahya09","Laki - laki mana lagi yang harus ku percaya 😢"
"suciyantiaprillia","Ngeri kali isi chatnya😭💔 ibok sabar banget ternyata diselingkuhi terus sama suaminya😭"
"ichell112","Istrinya cantik banget , malah selingkuh sama skin Rozi 😭"
"ekaputri9291","hina banget,padahal istri udah cantik begtu,kalau ada kurang-kurang dikit ya wajar namanya manusia,lu jg bang di mata istri lu pasti ada kurangnya,tapi istri lu ga smpai ngelakuin perbuatan hina kaya gtu"
"noviawulandarie","Jadi pengen sillaturahmi ama tuh orang berdua😂"
"nar.cyy","Aneh banget anjir lu kalo ga cinta ngapain nikahin anak gadis orang "
"velinsy","miris banget hidupny bella"
"rinioktvni_","Dikasih berlian malah pilih batu kuburan🤮"
"alx.paulus_","Jijik banget baca nya ih🤮🤮"
"mommycaky_","Ih jijik syekali bacanya 🤮"
"rovandahjuna","sehat selalu mama kavi"
"titaalstr","Mana belum pernah naik pesawat sekalinya naik takut disumpahin gara-gara pilotnya selengki 🫠"
"ayulugi.khanza","PECAT DUA DUANYA!"
"katarina_mattew_lie","Fix dr sekarang ga mau LaGi naek pesawat ..takut pilotnya kena sumpah istrinya"
"ellinanovalita","Tag Ig nya donk, biar sama-sama kita hujat😂😂"
"ismadwsgt"," jijik banget  istri cantik padahal masi aja nyari jablay"
"phinov_20","Malunya seumur idup si pasti"
"cicihhalimahkarawang","innalillahi ya allah padahal dah ada istri masih aja begitu cuma teman rekan nya .emang enak ya selingkuh enakan cuma istri bebas ga berdosa pula"
"elsaerfira","Udah dapet berlian, kamu cari besi karatan mas pilot😭😆"
"indah_choend","Emang Paling Cepat kalo udah urusan Rumah tangga org netizen +62 😂😂😂"
"vidiavhidya","Susah yaa cari yg ga selingkuh😢 orang baik makin menipis😮"
"enn9244","ngeri ga sih naik pesawat sekarang takut pilot nya lagi di sumpahin,kita kena sial nya juga kan"
"ariestissi","aku kalo baca² kaya gini tu langsung gemeter. ya Allah org kenapa suka selingkuh. sedih bener 😢😢"
"by.jenna.id","Halah muka pelaku tuh gausa ditutup stiker, biar aja jadi sanksi. Toh dia ga malu untuk berbuat, ya gausa malu jg untuk dihujat"
"rizafatya_","Mana kerjaan laki gua bolak balik naik pesawat ngeri kena apesnya gegara pilotnya suka ena” sama crewnya . Trus di doain sama istrinya aduh meresahkan sekali pak pilot"
"mei.siang_","Selingkuh itu emang hal yg gabisa di maafin sih.. "
"nenk_aloh","Ngeri² sedap yaa perselingkuhan jaman sekarang👏"
"aliskaramadhanty_","Di kasih spek limited edition eh malah nyari yg di obral , emang rada-rada nih lakik 🔥🔥"
"butloooo123","Hati-hati deh naik pesawat yg pilot dan pramugarinya dua orang ini, takut ada apa-apa nya karena udah banyak disumpahin ama para netizen indonesia.... …"
"arianta_bgn","Tidak semua pilot seperti itu,tapi yg seperti itu sudah pasti pilot "
"ithaazulfahmi","Hati hati HIV haaa"
"nida_cooking","Jijik bgt bacanya...."
"yulimulwtk","Yg mau naik pesawat  banyakin istigfar dan syahadat. Siapa tau  adakan yg di doain istrinya atau yg laen😂"
"dhikachik","“Kamar mandi juga nih” gak sekalian ke kamar mayat aja mas"
"mochiimou90_","Dan sampe sekarang tu khodam masih nyangkut di sayap pesawat 😂😂😂😂"
"chairuna_harahap30","Miris banget bacanya😢"
"emakemak811","Emangnya selingkuh harus gituan ya"
"diki_cendol07","Disini mah banyak tau yang kaya gitu 😂"
"fremi.irawan","Herannya lagi ini siswinya kok mau sudah tau itu gurunya sudah punya istri"
"idjsaaa_12","emangg makin makin sih di zaman sekarang, padahal itu hubungan antara guru dan murid tapi masih bisa""nya begitu"
"rahayuraa","Udah bukan rahasia umum. Ini yg ketauan aja. Banyak sebenernya impostor di sekolah. Perkara bapak/ibu guru nya keliatan masih muda, jadi anak-anak murid nya hilang akal. Ini mending anak samaA. Ada yg pacaran sama anak samaP, umur nya masih minor. Naudzubillah"
"_arshopppppp","emang guru pjok mah gitu tapi ga semua sihhh"
"nrhanfhst","Ga heran bjir, temen gw selingkuh sama guru yg udah tua bangka"
"sunrishees","yang kaya begini mah banyak, tapi pada ga ketauan aja"
"xyaraapril","samperin aja org tua bocilnya, suruh didik yg bener"
"rifqipermana_","Udah macem macem lagi aja ini bibit lonthay"
"nadiafebrianti","Cowoknya salah ceweknya salah, apasih dunia ini...."
"yunisamarna","Tinggal nikahin aja si ribet amat"
"http.lli","jujur disekolah gw juga ada bahkan sampai cerai.."
"liliandriaputri","Suka sedih kadang lihat para siswi yg keganjenan sama pak gurunya walaupun udah tau pak gurunya udh punya istri bahkan anak. Ngerasain gimana sedihnya lihat suami yg seorang guru foto nempel-nempel berdua sama sisiwinya 😢"
"doniarnldy","gatau penilaian gua salah atau engga tapi kenapa ya anak sekolah sekarang speknya kaya lc njir"
"handikax_11","Sudah tidak kaget"
"rfitria_09"," aku tidak aneh sih @haihana13"
"pu_puut","Aku pernah ada pengalaman soal per-pelakoran. PakDhe ku side jobnya pengobatan spritual. Jadi sedikit banyak bisa melakukan hal2 metafisika. Suatu hari ada pelakor, minta tolong PakDhe ku. Buat misahin pacarnya sama istri sahnya. Entahlah apa yg dimintanya. Pak Dhe ku nanya berulangkali. Yakin apa ngga sama permintaannya. Sama PakDheku si pelakor ini di suruh merem, dipegang pundaknya dari belakang. Lama kali si pelakor ini nangis2 histeris ga karuan. Setelah selesai ritual itu. Dia mohon pamit ke PakDhe ku ga mau lagi jadi pelakor. Kalo kata BuDhe ku. Kayaknya PakDheku masukin visual ke alam bawah sadarnya tentang siksa neraka kalo jadi pelakor. Wkwk. Nah, barang kali si adek ini mau coba ke PakDhe ku. Hehe"
"ronisuryana_","Lakinya yang sakit itumah"
"risnawaa_","Lah zaman gw skolah SMA, kaka kelas gue blak-blak an banget pacaran sama guru gw njir, dan bangga banget jadi selingkuhan. Ada beberapa guru malah, dan yang paling parah nya lagi, ada guru yg sampe berani banget bawa murid selingkuhanya itu kerumah dia posisi istri nya lagi sakit dan sampe meninggal, katanya si meninggal pas abis ribut sama laki nya itu"
"gwilson.ega","Gua guru miris liat nya"
"ina300519","Lagi laki gatel amat"
"pafirasinkan"," meLAWAN BOCIL GADA ABISNYA BUK. SUMPAH SIH SAKIT JuGa SUAMINYA KaLau KAYA GiTu TU. SaMA-sama SAKIT. BUAT IBU SEMANGAT YA BU. SADARKAN SUAMINYA BU. MASI BOCIL INGUSAN PASTI MASI KECING BU"
"ulfrianto_da","Aduhh samaan lagi, Saya dulunya juga Guru Olahraga, ni  istri saya dulu murid samaK saya pas saya mengajar 😂Gimana nih nda? @khoirullaella"
"rionaldisk8","Guru yang baik mengajarkan hal yang baik semoga kejadian ini jadi bahan pelajaran buat mencari suami yang berfokus bukan karena wanita tapi karena ketaatan nya dalam menjaga rumah tangga 🙏"
"sdr_a5","banyak kali, guru cewe sama siswanya juga banyak, bahkan dosen pun banyak "
"tisa_ica","STRESS, SAKIT JIWA"
"agr.yln","Banyak belum keluar semua aja tu dari goa"
"sarasw_mei","Sudah tidak aneh"
"adindalest","Kayanya di setiap sekolah ada deh yang kaya gini cuman ga semua di up aja... Di sekolahku juga ada"
"wulannbby_","Berita macem apa ini ga habis fikir"
"ma.darma_","Pantes sekarang banyak yg berstatus pelajar tapi tidak terpelajar... Lah kelakuan gurunya aja begini😂😂"
"izza_anniza","Yakin itu bocil ga di hohohihe sama bapak guru Kalau saya sih ga yakin"
"andre._.tryawan","Ga sekolah lagi dek? Mau lanjuti perselingkuhannya diluar biar ga ketauan?"
"amsir.13","Kak fokus Ujian kak bukan fokus ke suami orang"
"nuning_larasati","Ku kira seorang guru ga akan ngelakuin hal seperti itu dengan muridnya😢 dek lebih baik tinggalin tuh guru sebelum semua semakin memburuk"
"zeny_intanp"," baca nya sambil geli sendiri, berasa malah jd korban gini siswanya."
"juprimrbn","Mantan sekolah gue juga ada. Guru olahraga juga malah."
"brtaniaib_","Dek mendingan jdi pelakor sama yg pacaran daripada yg udah nikah, doa istri terzalimi tembus langit ketujuh "
"gegeazhar21","Sudah biasa terjadi"
"wongbiasaid","Dunia kenapa si selingkuh mulu isinya"
